match_played,value,team_id,team_name,rank,points_per_match
24,54.71,7,Puneri Paltan,1,2.2795833333333335
22,43.93,29,Tamil Thalaivas,2,1.9968181818181818
22,43.74,1,Bengaluru Bulls,3,1.9881818181818183
25,43.66,28,Haryana Steelers,4,1.7464
23,41.77,31,Gujarat Giants,5,1.8160869565217392
23,41.64,3,Jaipur Pink Panthers,6,1.8104347826086957
23,39.12,2,Dabang Delhi K.C.,7,1.7008695652173913
24,38.66,6,Patna Pirates,8,1.6108333333333331
22,36.83,30,U.P. Yoddhas,9,1.674090909090909
22,35.16,5,U Mumba,10,1.598181818181818
22,34.72,8,Telugu Titans,11,1.5781818181818181
22,33.86,4,Bengal Warriors,12,1.539090909090909
