match_played,value,team_id,team_name,rank,points_per_match
22,504,4,Bengal Warriors,1,22.90909090909091
24,495,6,Patna Pirates,2,20.625
25,492,28,Haryana Steelers,3,19.68
22,486,5,U Mumba,4,22.09090909090909
23,474,2,Dabang Delhi K.C.,5,20.608695652173914
23,464,3,Jaipur Pink Panthers,6,20.17391304347826
24,464,7,Puneri Paltan,7,19.333333333333332
22,443,29,Tamil Thalaivas,8,20.136363636363637
22,434,30,U.P. Yoddhas,9,19.727272727272727
23,422,31,Gujarat Giants,10,18.347826086956523
22,413,8,Telugu Titans,11,18.772727272727273
22,406,1,Bengaluru Bulls,12,18.454545454545453
