match_played,value,team_id,team_name,rank,points_per_match
26,26,6,Patna Pirates,1,1.0
22,26,5,U Mumba,2,1.1818181818181819
23,21,28,Haryana Steelers,3,0.9130434782608695
24,19,7,Puneri Paltan,4,0.7916666666666666
23,18,30,U.P. Yoddhas,5,0.782608695652174
22,17,29,Tamil Thalaivas,6,0.7727272727272727
22,16,1,Bengaluru Bulls,7,0.7272727272727273
22,16,8,Telugu Titans,8,0.7272727272727273
24,12,4,Bengal Warriors,9,0.5
24,12,31,Gujarat Giants,10,0.5
22,10,2,Dabang Delhi K.C.,11,0.45454545454545453
22,9,3,Jaipur Pink Panthers,12,0.4090909090909091
