match_played,value,team_id,team_name,rank,points_per_match
24,22.79,1,Bengaluru Bulls,1,0.9495833333333333
22,22.55,6,Patna Pirates,2,1.0250000000000001
22,20.32,28,Haryana Steelers,3,0.9236363636363637
24,20.13,2,Dabang Delhi K.C.,4,0.83875
23,19.96,5,U Mumba,5,0.8678260869565217
25,19.2,31,Gujarat Giants,6,0.768
22,19.05,29,Tamil Thalaivas,7,0.865909090909091
23,18.96,4,Bengal Warriors,8,0.8243478260869566
22,18.86,3,Jaipur Pink Panthers,9,0.8572727272727273
25,17.96,30,U.P. Yoddha,10,0.7184
22,16.05,8,Telugu Titans,11,0.7295454545454546
22,15.73,7,Puneri Paltan,12,0.715
