match_played,value,team_id,team_name,rank,points_per_match
24,887,1,Bengaluru Bulls,1,36.958333333333336
25,876,31,Gujarat Giants,2,35.04
23,856,5,U Mumba,3,37.21739130434783
24,822,2,Dabang Delhi K.C.,4,34.25
25,812,30,U.P. Yoddha,5,32.48
22,799,6,Patna Pirates,6,36.31818181818182
23,725,4,Bengal Warriors,7,31.52173913043478
22,715,28,Haryana Steelers,8,32.5
22,711,3,Jaipur Pink Panthers,9,32.31818181818182
22,671,29,Tamil Thalaivas,10,30.5
22,649,7,Puneri Paltan,11,29.5
22,647,8,Telugu Titans,12,29.40909090909091
