match_played,value,team_id,team_name,rank,points_per_match
22,12.0,7,Puneri Paltan,1,0.5454545454545454
23,11.3,30,U.P. Yoddha,2,0.491304347826087
22,10.91,3,Jaipur Pink Panthers,3,0.4959090909090909
22,10.23,6,Patna Pirates,4,0.465
22,10.18,31,Gujarat Giants,5,0.4627272727272727
22,10.18,8,Telugu Titans,6,0.4627272727272727
23,9.78,28,Haryana Steelers,7,0.4252173913043478
24,9.71,5,U Mumba,8,0.40458333333333335
24,9.67,1,Bengaluru Bulls,9,0.40291666666666665
24,9.54,4,Bengal Warriors,10,0.39749999999999996
24,9.25,2,Dabang Delhi K.C.,11,0.3854166666666667
22,8.73,29,Tamil Thalaivas,12,0.39681818181818185
