match_played,value,team_id,team_name,rank,points_per_match
22,37,7,Puneri Paltan,1,1.6818181818181819
22,33,8,Telugu Titans,2,1.5
24,33,1,Bengaluru Bulls,3,1.375
22,31,29,Tamil Thalaivas,4,1.4090909090909092
23,29,30,U.P. Yoddha,5,1.2608695652173914
23,28,28,Haryana Steelers,6,1.2173913043478262
24,27,5,U Mumba,7,1.125
22,26,6,Patna Pirates,8,1.1818181818181819
24,26,2,Dabang Delhi K.C.,9,1.0833333333333333
22,25,3,Jaipur Pink Panthers,10,1.1363636363636365
22,25,31,Gujarat Giants,11,1.1363636363636365
24,23,4,Bengal Warriors,12,0.9583333333333334
