match_played,value,team_id,team_name,rank,points_per_match
24,855,1,Bengaluru Bulls,1,35.625
24,823,2,Dabang Delhi K.C.,2,34.291666666666664
22,816,7,Puneri Paltan,3,37.09090909090909
23,802,28,Haryana Steelers,4,34.869565217391305
22,792,8,Telugu Titans,5,36.0
24,790,4,Bengal Warriors,6,32.916666666666664
23,764,30,U.P. Yoddha,7,33.21739130434783
22,761,29,Tamil Thalaivas,8,34.59090909090909
22,745,6,Patna Pirates,9,33.86363636363637
24,732,5,U Mumba,10,30.5
22,713,3,Jaipur Pink Panthers,11,32.40909090909091
22,668,31,Gujarat Giants,12,30.363636363636363
