match_played,value,team_id,team_name,rank,points_per_match
24,289,6,Patna Pirates,1,12.041666666666666
24,261,1,Bengaluru Bulls,2,10.875
23,253,7,Puneri Paltan,3,11.0
24,242,30,U.P. Yoddhas,4,10.083333333333334
22,227,29,Tamil Thalaivas,5,10.318181818181818
22,218,28,Haryana Steelers,6,9.909090909090908
22,216,5,U Mumba,7,9.818181818181818
22,209,3,Jaipur Pink Panthers,8,9.5
22,207,8,Telugu Titans,9,9.409090909090908
23,207,31,Gujarat Giants,10,9.0
24,200,2,Dabang Delhi K.C.,11,8.333333333333334
22,178,4,Bengal Warriors,12,8.090909090909092
