match_played,value,team_id,team_name,rank,points_per_match
23,102,7,Puneri Paltan,1,4.434782608695652
24,90,6,Patna Pirates,2,3.75
22,85,3,Jaipur Pink Panthers,3,3.8636363636363638
22,83,29,Tamil Thalaivas,4,3.772727272727273
24,78,30,U.P. Yoddhas,5,3.25
22,73,4,Bengal Warriors,6,3.3181818181818183
23,68,31,Gujarat Giants,7,2.9565217391304346
22,62,8,Telugu Titans,8,2.8181818181818183
22,56,28,Haryana Steelers,9,2.5454545454545454
24,55,2,Dabang Delhi K.C.,10,2.2916666666666665
22,53,5,U Mumba,11,2.409090909090909
24,38,1,Bengaluru Bulls,12,1.5833333333333333
