match_played,value,team_id,team_name,rank,points_per_match
24,1015,30,U.P. Yoddhas,1,42.291666666666664
24,1014,6,Patna Pirates,2,42.25
24,992,1,Bengaluru Bulls,3,41.333333333333336
24,977,2,Dabang Delhi K.C.,4,40.708333333333336
23,945,7,Puneri Paltan,5,41.08695652173913
23,941,31,Gujarat Giants,6,40.91304347826087
22,919,29,Tamil Thalaivas,7,41.77272727272727
22,907,8,Telugu Titans,8,41.22727272727273
22,898,28,Haryana Steelers,9,40.81818181818182
22,894,3,Jaipur Pink Panthers,10,40.63636363636363
22,892,4,Bengal Warriors,11,40.54545454545455
22,876,5,U Mumba,12,39.81818181818182
