match_played,value,team_id,team_name,rank,points_per_match
24,11.33,6,Patna Pirates,1,0.47208333333333335
23,10.04,7,Puneri Paltan,2,0.43652173913043474
24,9.79,1,Bengaluru Bulls,3,0.40791666666666665
22,9.64,29,Tamil Thalaivas,4,0.43818181818181823
22,9.05,3,Jaipur Pink Panthers,5,0.4113636363636364
22,9.05,28,Haryana Steelers,6,0.4113636363636364
24,8.96,30,U.P. Yoddhas,7,0.37333333333333335
22,8.82,5,U Mumba,8,0.40090909090909094
22,8.64,8,Telugu Titans,9,0.39272727272727276
23,8.04,31,Gujarat Giants,10,0.3495652173913043
24,7.88,2,Dabang Delhi K.C.,11,0.3283333333333333
22,7.55,4,Bengal Warriors,12,0.3431818181818182
