match_played,value,team_id,team_name,rank,points_per_match
24,46.1,6,Patna Pirates,1,1.9208333333333334
24,41.37,1,Bengaluru Bulls,2,1.72375
22,39.25,28,Haryana Steelers,3,1.7840909090909092
22,38.83,29,Tamil Thalaivas,4,1.765
23,38.82,7,Puneri Paltan,5,1.6878260869565218
24,37.85,30,U.P. Yoddhas,6,1.5770833333333334
22,37.16,5,U Mumba,7,1.689090909090909
22,35.51,8,Telugu Titans,8,1.614090909090909
24,35.26,2,Dabang Delhi K.C.,9,1.4691666666666665
23,34.97,31,Gujarat Giants,10,1.5204347826086957
22,34.79,3,Jaipur Pink Panthers,11,1.5813636363636363
22,34.02,4,Bengal Warriors,12,1.5463636363636366
