match_played,value,team_id,team_name,rank,points_per_match
24,37.63,1,Bengaluru Bulls,1,1.5679166666666668
24,36.5,6,Patna Pirates,2,1.5208333333333333
24,36.04,30,U.P. Yoddhas,3,1.5016666666666667
23,35.39,7,Puneri Paltan,4,1.538695652173913
22,34.36,3,Jaipur Pink Panthers,5,1.5618181818181818
22,34.27,4,Bengal Warriors,6,1.5577272727272728
22,33.68,28,Haryana Steelers,7,1.530909090909091
24,33.5,2,Dabang Delhi K.C.,8,1.3958333333333333
22,33.36,29,Tamil Thalaivas,9,1.5163636363636364
22,32.77,8,Telugu Titans,10,1.4895454545454547
22,32.55,5,U Mumba,11,1.4795454545454545
23,32.04,31,Gujarat Giants,12,1.3930434782608696
