match_played,value,team_id,team_name,rank,points_per_match
22,22,4,Bengal Warriors,1,1.0
24,20,1,Bengaluru Bulls,2,0.8333333333333334
23,20,30,U.P. Yoddhas,3,0.8695652173913043
22,16,31,Gujarat Giants,4,0.7272727272727273
23,13,2,Dabang Delhi K.C.,5,0.5652173913043478
22,13,28,Haryana Steelers,6,0.5909090909090909
22,12,5,U Mumba,7,0.5454545454545454
24,11,3,Jaipur Pink Panthers,8,0.4583333333333333
24,11,29,Tamil Thalaivas,9,0.4583333333333333
24,11,7,Puneri Paltan,10,0.4583333333333333
22,9,6,Patna Pirates,11,0.4090909090909091
22,6,8,Telugu Titans,12,0.2727272727272727
