match_played,value,team_id,team_name,rank,points_per_match
22,44.92,31,Gujarat Giants,1,2.041818181818182
23,44.56,2,Dabang Delhi K.C.,2,1.9373913043478261
24,42.8,1,Bengaluru Bulls,3,1.7833333333333332
24,42.44,3,Jaipur Pink Panthers,4,1.7683333333333333
22,40.91,4,Bengal Warriors,5,1.8595454545454544
24,40.85,7,Puneri Paltan,6,1.7020833333333334
23,39.43,30,U.P. Yoddhas,7,1.7143478260869565
22,38.69,28,Haryana Steelers,8,1.7586363636363636
24,36.7,29,Tamil Thalaivas,9,1.5291666666666668
22,35.99,6,Patna Pirates,10,1.635909090909091
22,31.89,5,U Mumba,11,1.4495454545454545
22,31.63,8,Telugu Titans,12,1.4377272727272727
