match_played,value,team_id,team_name,rank,points_per_match
24,440,1,Bengaluru Bulls,1,18.333333333333332
23,434,2,Dabang Delhi K.C.,2,18.869565217391305
24,432,3,Jaipur Pink Panthers,3,18.0
22,420,31,Gujarat Giants,4,19.09090909090909
24,411,7,Puneri Paltan,5,17.125
23,384,30,U.P. Yoddhas,6,16.695652173913043
24,382,29,Tamil Thalaivas,7,15.916666666666666
22,378,4,Bengal Warriors,8,17.181818181818183
22,359,28,Haryana Steelers,9,16.318181818181817
22,343,6,Patna Pirates,10,15.590909090909092
22,297,8,Telugu Titans,11,13.5
22,294,5,U Mumba,12,13.363636363636363
