match_played,value,team_id,team_name,rank,points_per_match
24,550,1,Bengaluru Bulls,1,22.916666666666668
22,549,31,Gujarat Giants,2,24.954545454545453
23,542,2,Dabang Delhi K.C.,3,23.565217391304348
24,519,3,Jaipur Pink Panthers,4,21.625
24,507,7,Puneri Paltan,5,21.125
23,504,30,U.P. Yoddhas,6,21.91304347826087
22,489,4,Bengal Warriors,7,22.227272727272727
24,487,29,Tamil Thalaivas,8,20.291666666666668
22,458,28,Haryana Steelers,9,20.818181818181817
22,418,6,Patna Pirates,10,19.0
22,384,5,U Mumba,11,17.454545454545453
22,376,8,Telugu Titans,12,17.09090909090909
