match_played,value,team_id,team_name,rank,points_per_match
199,2166,7,Puneri Paltan,1,10.884422110552764
204,2110,6,Patna Pirates,2,10.343137254901961
197,2056,5,U Mumba,3,10.436548223350254
200,1978,1,Bengaluru Bulls,4,9.89
195,1961,3,Jaipur Pink Panthers,5,10.056410256410256
192,1863,8,Telugu Titans,6,9.703125
196,1810,2,Dabang Delhi K.C.,7,9.23469387755102
195,1752,4,Bengal Warriors,8,8.984615384615385
140,1417,30,U.P. Yoddhas,9,10.121428571428572
137,1416,28,Haryana Steelers,10,10.335766423357665
139,1388,31,Gujarat Giants,11,9.985611510791367
134,1375,29,Tamil Thalaivas,12,10.261194029850746
