match_played,value,team_id,team_name,rank,points_per_match
204,192,6,Patna Pirates,1,0.9411764705882353
192,190,8,Telugu Titans,2,0.9895833333333334
197,183,5,U Mumba,3,0.9289340101522843
195,182,3,Jaipur Pink Panthers,4,0.9333333333333333
199,175,7,Puneri Paltan,5,0.8793969849246231
200,154,1,Bengaluru Bulls,6,0.77
196,142,2,Dabang Delhi K.C.,7,0.7244897959183674
140,135,30,U.P. Yoddhas,8,0.9642857142857143
195,129,4,Bengal Warriors,9,0.6615384615384615
134,121,29,Tamil Thalaivas,10,0.9029850746268657
137,118,28,Haryana Steelers,11,0.8613138686131386
139,95,31,Gujarat Giants,12,0.6834532374100719
