match_played,value,team_id,team_name,rank,points_per_match
204,299,6,Patna Pirates,1,1.4656862745098038
200,265,1,Bengaluru Bulls,2,1.325
199,255,7,Puneri Paltan,3,1.2814070351758795
197,249,5,U Mumba,4,1.263959390862944
195,247,3,Jaipur Pink Panthers,5,1.2666666666666666
196,240,2,Dabang Delhi K.C.,6,1.2244897959183674
195,228,4,Bengal Warriors,7,1.1692307692307693
192,198,8,Telugu Titans,8,1.03125
139,186,31,Gujarat Giants,9,1.3381294964028776
140,176,30,U.P. Yoddhas,10,1.2571428571428571
137,158,28,Haryana Steelers,11,1.1532846715328466
134,143,29,Tamil Thalaivas,12,1.0671641791044777
