match_played,value,team_id,team_name,rank,points_per_match
204,7131,6,Patna Pirates,1,34.955882352941174
200,6755,1,Bengaluru Bulls,2,33.775
199,6616,7,Puneri Paltan,3,33.246231155778894
197,6516,5,U Mumba,4,33.076142131979694
196,6508,2,Dabang Delhi K.C.,5,33.204081632653065
195,6457,3,Jaipur Pink Panthers,6,33.11282051282051
195,6354,4,Bengal Warriors,7,32.58461538461538
192,6173,8,Telugu Titans,8,32.151041666666664
140,4806,30,U.P. Yoddhas,9,34.32857142857143
139,4692,31,Gujarat Giants,10,33.75539568345324
137,4682,28,Haryana Steelers,11,34.175182481751825
134,4413,29,Tamil Thalaivas,12,32.93283582089552
