match_played,value,team_id,team_name,rank,points_per_match
204,6775,6,Patna Pirates,1,33.21078431372549
192,6758,8,Telugu Titans,2,35.197916666666664
196,6756,2,Dabang Delhi K.C.,3,34.46938775510204
200,6647,1,Bengaluru Bulls,4,33.235
195,6565,4,Bengal Warriors,5,33.666666666666664
199,6396,7,Puneri Paltan,6,32.14070351758794
197,6270,5,U Mumba,7,31.82741116751269
195,6156,3,Jaipur Pink Panthers,8,31.56923076923077
140,4876,30,U.P. Yoddhas,9,34.82857142857143
137,4772,28,Haryana Steelers,10,34.832116788321166
134,4680,29,Tamil Thalaivas,11,34.92537313432836
139,4452,31,Gujarat Giants,12,32.02877697841727
