match_played,value,team_id,team_name,rank,points_per_match
204,4094,6,Patna Pirates,1,20.068627450980394
200,3916,1,Bengaluru Bulls,2,19.58
196,3841,2,Dabang Delhi K.C.,3,19.596938775510203
195,3793,4,Bengal Warriors,4,19.45128205128205
197,3672,5,U Mumba,5,18.639593908629443
195,3626,3,Jaipur Pink Panthers,6,18.594871794871796
192,3609,8,Telugu Titans,7,18.796875
199,3587,7,Puneri Paltan,8,18.025125628140703
140,2771,30,U.P. Yoddhas,9,19.792857142857144
137,2731,28,Haryana Steelers,10,19.934306569343065
139,2671,31,Gujarat Giants,11,19.215827338129497
134,2553,29,Tamil Thalaivas,12,19.05223880597015
