,Season,Match_ID,Match_Name,League_Stage,Year,Venue,Match_Outcome,Start_Date,End_Date,Result,Winning Margin,team_score_1,team_score_2,team_name_1,team_id_1,team_name_2,team_id_2
0,9,2892,Match 1,League,2022,"Shree Kanteerava Indoor Stadium, Bengaluru",Dabang Delhi K.C. won by 14 Pts,2022-10-07T19:30+05:30,2022-10-07T19:30+05:30,W,14,41,27,Dabang Delhi K.C.,2,U Mumba,5
1,9,2893,Match 2,League,2022,"Shree Kanteerava Indoor Stadium, Bengaluru",Bengaluru Bulls won by 5 Pts,2022-10-07T20:30+05:30,2022-10-07T20:30+05:30,W,5,34,29,Bengaluru Bulls,1,Telugu Titans,8
2,9,2894,Match 3,League,2022,"Shree Kanteerava Indoor Stadium, Bengaluru",U.P. Yoddhas won by 2 Pts,2022-10-07T21:30+05:30,2022-10-07T21:30+05:30,W,2,32,34,Jaipur Pink Panthers,3,U.P. Yoddhas,30
3,9,2895,Match 4,League,2022,"Shree Kanteerava Indoor Stadium, Bengaluru",Match Tied,2022-10-08T19:30+05:30,2022-10-08T19:30+05:30,T,,34,34,Patna Pirates,6,Puneri Paltan,7
4,9,2896,Match 5,League,2022,"Shree Kanteerava Indoor Stadium, Bengaluru",Match Tied,2022-10-08T20:30+05:30,2022-10-08T20:30+05:30,T,,31,31,Gujarat Giants,31,Tamil Thalaivas,29
5,9,2897,Match 6,League,2022,"Shree Kanteerava Indoor Stadium, Bengaluru",Haryana Steelers won by 8 Pts,2022-10-08T21:30+05:30,2022-10-08T21:30+05:30,W,8,33,41,Bengal Warriors,4,Haryana Steelers,28
6,9,2898,Match 7,League,2022,"Shree Kanteerava Indoor Stadium, Bengaluru",Jaipur Pink Panthers won by 5 Pts,2022-10-09T19:30+05:30,2022-10-09T19:30+05:30,W,5,35,30,Jaipur Pink Panthers,3,Patna Pirates,6
7,9,2899,Match 8,League,2022,"Shree Kanteerava Indoor Stadium, Bengaluru",Bengal Warriors won by 20 Pts,2022-10-09T20:30+05:30,2022-10-09T20:30+05:30,W,20,25,45,Telugu Titans,8,Bengal Warriors,4
8,9,2900,Match 9,League,2022,"Shree Kanteerava Indoor Stadium, Bengaluru",Bengaluru Bulls won by 2 Pts,2022-10-09T21:30+05:30,2022-10-09T21:30+05:30,W,2,39,41,Puneri Paltan,7,Bengaluru Bulls,1
9,9,2901,Match 10,League,2022,"Shree Kanteerava Indoor Stadium, Bengaluru",U Mumba won by 7 Pts,2022-10-10T19:30+05:30,2022-10-10T19:30+05:30,W,7,30,23,U Mumba,5,U.P. Yoddhas,30
10,9,2902,Match 11,League,2022,"Shree Kanteerava Indoor Stadium, Bengaluru",Dabang Delhi K.C. won by 20 Pts,2022-10-10T20:30+05:30,2022-10-10T20:30+05:30,W,20,53,33,Dabang Delhi K.C.,2,Gujarat Giants,31
11,9,2903,Match 12,League,2022,"Shree Kanteerava Indoor Stadium, Bengaluru",Haryana Steelers won by 5 Pts,2022-10-11T19:30+05:30,2022-10-11T19:30+05:30,W,5,27,22,Haryana Steelers,28,Tamil Thalaivas,29
12,9,2904,Match 13,League,2022,"Shree Kanteerava Indoor Stadium, Bengaluru",Telugu Titans won by 9 Pts,2022-10-11T20:30+05:30,2022-10-11T20:30+05:30,W,9,21,30,Patna Pirates,6,Telugu Titans,8
13,9,2905,Match 14,League,2022,"Shree Kanteerava Indoor Stadium, Bengaluru",Bengal Warriors won by 9 Pts,2022-10-12T19:30+05:30,2022-10-12T19:30+05:30,W,9,33,42,Bengaluru Bulls,1,Bengal Warriors,4
14,9,2906,Match 15,League,2022,"Shree Kanteerava Indoor Stadium, Bengaluru",Dabang Delhi K.C. won by 2 Pts,2022-10-12T20:30+05:30,2022-10-12T20:30+05:30,W,2,42,44,U.P. Yoddhas,30,Dabang Delhi K.C.,2
15,9,2907,Match 16,League,2022,"Shree Kanteerava Indoor Stadium, Bengaluru",U Mumba won by 7 Pts,2022-10-14T19:30+05:30,2022-10-14T19:30+05:30,W,7,32,39,Tamil Thalaivas,29,U Mumba,5
16,9,2908,Match 17,League,2022,"Shree Kanteerava Indoor Stadium, Bengaluru",Jaipur Pink Panthers won by 13 Pts,2022-10-14T20:30+05:30,2022-10-14T20:30+05:30,W,13,31,44,Haryana Steelers,28,Jaipur Pink Panthers,3
17,9,2909,Match 18,League,2022,"Shree Kanteerava Indoor Stadium, Bengaluru",Gujarat Giants won by 10 Pts,2022-10-14T21:30+05:30,2022-10-14T21:30+05:30,W,10,47,37,Gujarat Giants,31,Puneri Paltan,7
18,9,2910,Match 19,League,2022,"Shree Kanteerava Indoor Stadium, Bengaluru",Jaipur Pink Panthers won by 7 Pts,2022-10-15T19:30+05:30,2022-10-15T19:30+05:30,W,7,25,18,Jaipur Pink Panthers,3,Gujarat Giants,31
19,9,2911,Match 20,League,2022,"Shree Kanteerava Indoor Stadium, Bengaluru",Dabang Delhi K.C. won by 20 Pts,2022-10-15T20:30+05:30,2022-10-15T20:30+05:30,W,20,26,46,Telugu Titans,8,Dabang Delhi K.C.,2
20,9,2912,Match 21,League,2022,"Shree Kanteerava Indoor Stadium, Bengaluru",Bengal Warriors won by 28 Pts,2022-10-15T21:30+05:30,2022-10-15T21:30+05:30,W,28,54,26,Bengal Warriors,4,Patna Pirates,6
21,9,2913,Match 22,League,2022,"Shree Kanteerava Indoor Stadium, Bengaluru",Puneri Paltan won by 2 Pts,2022-10-16T19:30+05:30,2022-10-16T19:30+05:30,W,2,30,28,Puneri Paltan,7,U Mumba,5
22,9,2914,Match 23,League,2022,"Shree Kanteerava Indoor Stadium, Bengaluru",U.P. Yoddhas won by 7 Pts,2022-10-16T20:30+05:30,2022-10-16T20:30+05:30,W,7,44,37,U.P. Yoddhas,30,Bengaluru Bulls,1
23,9,2915,Match 24,League,2022,"Shree Kanteerava Indoor Stadium, Bengaluru",Tamil Thalaivas won by 1 Pts,2022-10-17T19:30+05:30,2022-10-17T19:30+05:30,W,1,33,32,Tamil Thalaivas,29,Patna Pirates,6
24,9,2916,Match 25,League,2022,"Shree Kanteerava Indoor Stadium, Bengaluru",Dabang Delhi K.C. won by 2 Pts,2022-10-17T20:30+05:30,2022-10-17T20:30+05:30,W,2,38,36,Dabang Delhi K.C.,2,Haryana Steelers,28
25,9,2917,Match 26,League,2022,"Shree Kanteerava Indoor Stadium, Bengaluru",Jaipur Pink Panthers won by 15 Pts,2022-10-18T19:30+05:30,2022-10-18T19:30+05:30,W,15,24,39,Bengal Warriors,4,Jaipur Pink Panthers,3
26,9,2918,Match 27,League,2022,"Shree Kanteerava Indoor Stadium, Bengaluru",Puneri Paltan won by 1 Pts,2022-10-18T20:30+05:30,2022-10-18T20:30+05:30,W,1,25,26,Telugu Titans,8,Puneri Paltan,7
27,9,2919,Match 28,League,2022,"Shree Kanteerava Indoor Stadium, Bengaluru",Gujarat Giants won by 6 Pts,2022-10-19T19:30+05:30,2022-10-19T19:30+05:30,W,6,51,45,Gujarat Giants,31,U.P. Yoddhas,30
