PlayerName,TeamName
Maninder  Singh,Bengal Warriors
K.  Prapanjan,Bengal Warriors
Mohammad  Taghi,Bengal Warriors
Rakesh  Narwal,Bengal Warriors
Ravindra  Ramesh,Bengal Warriors
Sukesh  Hegde,Bengal Warriors
Naveen  Narwal,Bengal Warriors
Amit  Singh,Bengal Warriors
Baldev  Kumar,Bengal Warriors
Jeeva  Vishnu,Bengal Warriors
Viraj  T,Bengal Warriors
Adarsh  Singh,Bengal Warriors
Dharmendra  Narwal,Bengal Warriors
Rinku  Santosh,Bengal Warriors
Amir  A.,Bengal Warriors
Avinash  Esmaeil,Bengal Warriors
Mohammad  Shivtarkar,Bengal Warriors
Mayur  Tanaji,Bengal Warriors
Sourabh  Manik,Bengal Warriors
,Bengal Warriors
Rohit  Kumar,Bengaluru Bulls
Banty  Mohar,Bengaluru Bulls
Lal  Kumar,Bengaluru Bulls
Pawan  Singh,Bengaluru Bulls
Sumit  Kumar,Bengaluru Bulls
Vinod  Sehrawat,Bengaluru Bulls
Mohit  Lal,Bengaluru Bulls
Raju  Kumar,Bengaluru Bulls
Vijay  Singh,Bengaluru Bulls
Mahender  Nandal,Bengaluru Bulls
Aman  Sheoran,Bengaluru Bulls
Sandeep  Kumar,Bengaluru Bulls
Saurabh  Shrestha,Bengaluru Bulls
,Bengaluru Bulls
,Bengaluru Bulls
,Bengaluru Bulls
,Bengaluru Bulls
,Bengaluru Bulls
Joginder  Singh,Dabang Delhi
Aman  Kadian,Dabang Delhi
Chandran  Ranjit,Dabang Delhi
Naveen  Kumar,Dabang Delhi
Neeraj  Narwal,Dabang Delhi
Sumit  Kumar,Dabang Delhi
Mohit  Mane,Dabang Delhi
Vishal  Patil,Dabang Delhi
Pratik  Pahal,Dabang Delhi
Ravinder  Kumar,Dabang Delhi
Anil  Ghaffari,Dabang Delhi
Saeid  Sheykh,Dabang Delhi
,Dabang Delhi
,Dabang Delhi
,Dabang Delhi
,Dabang Delhi
,Dabang Delhi
,Dabang Delhi
Dharmaraj  Cheralathan,Haryana Steelers
Amirhossein  Mohammad Maleki ,Haryana Steelers
Arun  Kumar HN ,Haryana Steelers
Naveen  Kumar Rai ,Haryana Steelers
Prashanth  K,Haryana Steelers
Selvamani  Chhillar,Haryana Steelers
Vikas  Kandola,Haryana Steelers
Vikash  Kumar,Haryana Steelers
Vinay  Kale,Haryana Steelers
Ravi  Narwal,Haryana Steelers
Vikas  Kandola,Haryana Steelers
Sunil  Singh,Haryana Steelers
Parveen  Singh,Haryana Steelers
Subhash  Phonchoo,Haryana Steelers
,Haryana Steelers
,Haryana Steelers
,Haryana Steelers
,Haryana Steelers
Deepak  Niwas Hooda ,JaipurPinkPanthers
Ajinkya  Ashok Pawar ,JaipurPinkPanthers
Deepak  Narwal,JaipurPinkPanthers
Guman  Singh,JaipurPinkPanthers
Lokesh  Kaushik,JaipurPinkPanthers
Milinda  Chathuranga,JaipurPinkPanthers
Nilesh  Salunke,JaipurPinkPanthers
Sushil  Gulia,JaipurPinkPanthers
Pavan  T. R. ,JaipurPinkPanthers
Amit  Hooda,JaipurPinkPanthers
Elavarasan  A,JaipurPinkPanthers
Karamvir  Kumar Dhull ,JaipurPinkPanthers
Sandeep  Siddhgavali,JaipurPinkPanthers
Sunil  Gyu Kim ,JaipurPinkPanthers
Dong  Rawal,JaipurPinkPanthers
Nitin  Narwal,JaipurPinkPanthers
,JaipurPinkPanthers
