,Player ID,Name,Jersey Number,Captain Count,Played Count,Green Card Count,Yellow Card Count,Red Card Count,Starter Count,Top Raider Count,Top Defender Count,Total Points,Team ID,Team Name,Total Matches in Season
0,2024,Arjun Deshwal,2,0,24,1,0,0,23,20,0,296,3,Jaipur Pink Panthers,24
1,368,Sunil Kumar,11,23,23,1,0,0,23,0,5,65,3,Jaipur Pink Panthers,24
2,5022,Reza Mirbagheri,1,0,16,0,0,0,13,0,1,36,3,Jaipur Pink Panthers,24
3,81,Rahul Chaudhari,9,1,21,0,0,0,20,1,0,73,3,Jaipur Pink Panthers,24
4,3053,V Ajith Kumar,6,0,21,0,0,0,20,2,0,103,3,Jaipur Pink Panthers,24
5,4769,Sahul Kumar,66,0,24,2,0,0,23,0,4,57,3,Jaipur Pink Panthers,24
6,3574,Ankush,3,0,24,2,0,0,24,0,12,89,3,Jaipur Pink Panthers,24
7,5113,Abhishek KS,4,0,18,0,0,0,17,0,1,25,3,Jaipur Pink Panthers,24
8,4956,Deepak Singh,5,0,3,0,0,0,1,0,0,2,3,Jaipur Pink Panthers,24
9,5042,Lucky Sharma,8,0,15,1,0,0,0,0,1,11,3,Jaipur Pink Panthers,24
10,5105,Ashish,44,0,4,0,0,0,0,0,0,1,3,Jaipur Pink Panthers,24
11,5106,Devank,55,0,5,0,0,0,0,0,0,4,3,Jaipur Pink Panthers,24
12,3238,Navneet,77,0,3,0,0,0,1,0,0,6,3,Jaipur Pink Panthers,24
13,660,Bhavani Rajput,99,0,14,0,0,0,2,1,0,36,3,Jaipur Pink Panthers,24
14,5064,Rahul Dhanawade,14,0,1,0,0,0,0,0,0,0,3,Jaipur Pink Panthers,24
15,4036,Nitin Chandel,7,0,3,0,0,0,1,0,0,1,3,Jaipur Pink Panthers,24
16,3152,Nitin Panwar,20,0,4,0,0,0,0,0,0,4,3,Jaipur Pink Panthers,24
17,5126,Marimuthu Kamaraj,28,0,0,0,0,0,0,0,0,0,3,Jaipur Pink Panthers,24
18,5023,Woosan Ko,33,0,0,0,0,0,0,0,0,0,3,Jaipur Pink Panthers,24
